Date,ABBV,AVGO,ENB,META,NVDA,PSA,RR.L,TSM,V
2023-10-26 00:00:00+00:00,2.719970703125,-42.3199462890625,-3.0000686645507812,-86.44992065429688,-15.270004272460938,0.419952392578125,-8.109318089485441,2.63995361328125,-32.90008544921875
2023-10-27 00:00:00+00:00,1.2799072265625,16.719970703125,-38.500022888183594,29.25,-6.300010681152344,-1.0799560546875,-5.692399492526459,-12.4000244140625,-18.99993896484375
2023-10-30 00:00:00+00:00,9.760009765625,0.29998779296875,11.500072479248047,46.41009521484375,0.7399749755859375,4.38006591796875,4.8697664867852675,-10.0,8.899993896484375
2023-10-31 00:00:00+00:00,-7.280029296875,-5.03997802734375,8.00008773803711,-26.520111083984375,3.2999801635742188,-35.459930419921875,63.578092695767005,1.27996826171875,15.29998779296875
2023-11-01 00:00:00+00:00,4.8800048828125,21.880035400390625,11.00006103515625,130.0,14.410018920898438,9.239959716796875,30.939385785292277,10.6400146484375,24.4000244140625
2023-11-02 00:00:00+00:00,15.5999755859375,18.600006103515625,42.49992370605469,-83.58990478515625,1.7800140380859375,20.82000732421875,2.448646620399062,0.6400146484375,33.39996337890625
2023-11-03 00:00:00+00:00,-20.239990234375,10.359954833984375,-3.4999847412109375,26.650238037109375,9.850006103515625,4.559967041015625,-22.05515842420128,1.1199951171875,-15.19989013671875
2023-11-06 00:00:00+00:00,-5.52001953125,-1.4599609375,-10.000038146972656,-2.340301513671875,4.659996032714844,-26.760040283203125,25.700406541871356,4.79998779296875,-5.099945068359375
2023-11-07 00:00:00+00:00,5.1199951171875,30.999908447265625,3.9999008178710938,22.880126953125,2.3600006103515625,-3.17999267578125,12.407253849506521,1.280029296875,13.600006103515625
2023-11-08 00:00:00+00:00,-11.280029296875,22.259979248046875,4.500007629394531,21.319793701171875,4.740028381347656,0.4200439453125,36.23620009682349,-10.6400146484375,4.199981689453125
2023-11-09 00:00:00+00:00,-23.6800537109375,-2.239990234375,-17.00000762939453,14.689666748046875,-5.16998291015625,-26.03997802734375,11.523416619011977,-8.0799560546875,-26.9000244140625
2023-11-10 00:00:00+00:00,-0.47998046875,71.55990600585938,-5.999946594238281,114.78982543945312,8.349990844726562,-21.96002197265625,12.278108489513432,27.20001220703125,12.700042724609375
2023-11-13 00:00:00+00:00,0.4000244140625,-6.23992919921875,20.49999237060547,38.869873046875,2.9999923706054688,18.780029296875,61.44684496521974,-4.72003173828125,-3.300018310546875
2023-11-14 00:00:00+00:00,-6.9599609375,21.23992919921875,-19.00005340576172,23.009857177734375,-0.240020751953125,43.800018310546875,10.696459959445924,7.280029296875,7.700042724609375
2023-11-15 00:00:00+00:00,-5.199951171875,-8.21990966796875,4.000091552734375,-67.86001586914062,-10.470008850097656,6.47991943359375,35.15971822558929,-9.199951171875,13.000030517578125
2023-11-16 00:00:00+00:00,0.0,-8.899993896484375,-18.999862670898438,62.66009521484375,8.009986877441406,-13.61993408203125,6.5418257273534275,2.4000244140625,-0.19989013671875
2023-11-17 00:00:00+00:00,-0.47998046875,39.040069580078125,22.999954223632812,62.139984130859375,-2.259979248046875,-24.47991943359375,-11.645179164088404,5.1199951171875,1.100006103515625
2023-11-20 00:00:00+00:00,6.239990234375,45.419921875,-1.0000228881835938,66.03982543945312,10.970001220703125,4.19989013671875,14.185696425404073,0.47998046875,3.600006103515625
2023-11-21 00:00:00+00:00,0.0,12.400054931640625,7.999992370605469,-17.5496826171875,-1.8199920654296875,4.0198974609375,-20.952691316604554,-12.719970703125,21.999969482421875
2023-11-22 00:00:00+00:00,-4.719970703125,-23.380126953125,15.999984741210938,29.639984130859375,-11.360015869140625,-29.219970703125,-56.310970307775435,-0.55999755859375,7.20001220703125
2023-11-23 00:00:00+00:00,,,,,,,26.778551350997017,,
2023-11-24 00:00:00+00:00,-10.6400146484375,7.819976806640625,12.5,-24.699920654296875,-6.94000244140625,12.660003662109375,3.3589338266741953,-5.20001220703125,1.100006103515625
2023-11-27 00:00:00+00:00,3.1199951171875,-51.819915771484375,-6.500053405761719,-19.23974609375,4.420013427734375,9.11993408203125,27.015082001583263,-1.67999267578125,-1.60003662109375
2023-11-28 00:00:00+00:00,-7.760009765625,12.819976806640625,5.000114440917969,72.66995239257812,-4.1500091552734375,5.339996337890625,126.12914102311383,0.8800048828125,-9.10003662109375
2023-11-29 00:00:00+00:00,3.8399658203125,-15.019989013671875,7.999992370605469,-97.369873046875,-2.3900222778320312,-5.10003662109375,42.58618843555456,-0.96002197265625,3.0999755859375
2023-11-30 00:00:00+00:00,35.0400390625,-30.540008544921875,11.499977111816406,-61.620269775390625,-12.53997802734375,17.88006591796875,29.77305167913449,-12.96002197265625,24.2999267578125
2023-12-01 00:00:00+00:00,6.9600830078125,15.0799560546875,15.500068664550781,-8.580047607421875,2.3999786376953125,45.4200439453125,40.623656286244646,6.800048828125,6.600189208984375
2023-12-04 00:00:00+00:00,5.919921875,6.660003662109375,9.5001220703125,35.48974609375,-5.670013427734375,22.0198974609375,33.219286919796836,-0.32000732421875,-14.70001220703125
2023-12-05 00:00:00+00:00,3.6800537109375,3.03985595703125,0.49991607666015625,-8.97003173828125,11.000022888183594,1.61993408203125,15.236854820059168,1.84002685546875,4.199981689453125
2023-12-06 00:00:00+00:00,12.7200927734375,-33.440093994140625,-13.500022888183594,-58.23974609375,-17.120018005371094,3.840087890625,16.03269335862601,0.39996337890625,-15.10009765625
2023-12-07 00:00:00+00:00,2.6400146484375,33.43994140625,-9.5001220703125,114.66009521484375,8.959999084472656,18.53997802734375,-14.304218631727172,10.6400146484375,9.300079345703125
